ID CLIENTE,EDAD,GENERACION,GENERO,ESTADO CIVIL,DEPARTAMENTO VIVIENDA,MUNICIPIO VIVIENDA,INGRESOS MENSUALES,PROFESION,DEPARTAMENTO LABORAL,MUNICIPIO LABORAL,TIENE BANCA ELECTRONICA,PRIMERA APERTURA,ULTIMA TRANSACCION CLIENTE
1373166,63,Baby Boomers,Femenino,Casado,Guatemala,Guatemala,3773,Quimico Farmaceutico,Error,Error,Si,20021028,20221229
4017736,41,Millenials,Masculino,Soltero,Guatemala,San Pedro Ayampuc,3718,Bachiller En Ciencias Y Letras,Guatemala,Guatemala,Si,20191203,20220830
4019659,25,Generacion Z,Femenino,Soltero,Santa Rosa,Barberena,4339,Bachiller En Ciencias Y Letras,Guatemala,Guatemala,Si,20191210,20221230
4345549,25,Generacion Z,Femenino,Soltero,Chiquimula,Esquipulas,2049,Estudiante,Chiquimula,Quezaltepeque,Si,20220331,20221230
4097818,40,Millenials,Masculino,Casado,Guatemala,Guatemala,0,Perito  En Electronica,Guatemala,Guatemala,Si,20200717,20221228
1193491,49,Generacion X,Masculino,Casado,El Peten,Poptun,0,Maestro De Educacion Primaria,El Peten,Poptun,Si,19970704,20221230
3019758,39,Millenials,Masculino,Error,Guatemala,Guatemala,6003,Error,Guatemala,Guatemala,Si,20060710,20221224
4320115,26,Generacion Z,Masculino,Soltero,Escuintla,Palin,5342,Estudiante,Escuintla,Palin,Si,20220204,20221230
2737559,62,Baby Boomers,Masculino,Casado,Guatemala,Mixco,10000,Sexto Primaria,Error,Error,Si,20170420,20221220
1722375,34,Millenials,Femenino,Soltero,El Peten,San Benito,10000,Maestro De Educacion Primaria,El Peten,San Benito,Si,20130125,20221227
4123710,24,Generacion Z,Masculino,Casado,Guatemala,Mixco,3930,Bachiller En Ciencias Y Letras,Guatemala,Mixco,Si,20201103,20221230
1668707,32,Millenials,Femenino,Casado,Guatemala,Mixco,0,Maestro De Educacion Primaria,Error,Error,Si,20170228,20221230
3280349,27,Millenials,Masculino,Soltero,Quetzaltenango,Coatepeque,2092,Agricultor,Guatemala,Guatemala,No,20170919,20221229
4360372,24,Generacion Z,Masculino,Soltero,Guatemala,Amatitlan,2812,Bachiller En Ciencias Y Letras,Guatemala,Guatemala,Si,20220421,20221219
1891006,31,Millenials,Masculino,Casado,Guatemala,Guatemala,6691,Estudiante,Guatemala,Guatemala,Si,20040301,20221230
3513493,33,Millenials,Masculino,Casado,Guatemala,Mixco,5660,Perito  Contador,Guatemala,Mixco,Si,20171219,20221230
4479134,46,Generacion X,Femenino,Casado,Guatemala,Villa Nueva,10000,Ama De Casa,Guatemala,Villa Nueva,No,20221113,20221230
1035814,36,Millenials,Masculino,Soltero,Retalhuleu,Retalhuleu,4007,Educacion Basica Completa,Quetzaltenango,Coatepeque,No,20091017,20221229
4419620,41,Millenials,Masculino,Soltero,Guatemala,Guatemala,1984,Tercero Basico,Guatemala,Guatemala,No,20220728,20221010
3542068,36,Millenials,Femenino,Soltero,San Marcos,Malacatan,100000,Maestro De Educacion Primaria,Error,Error,Si,20180322,20221230
3018622,29,Millenials,Femenino,Soltero,Guatemala,San Jose Pinula,0,Perito  Contador,Guatemala,Villa Canales,Si,20130314,20221228
3200235,40,Millenials,Femenino,Casado,Huehuetenango,Huehuetenango,11875,Licenciatura En Derecho,Guatemala,Guatemala,Si,20080201,20221230
1669849,31,Millenials,Masculino,Casado,Jutiapa,Jutiapa,3186,Educacion Primaria Completa,Jutiapa,Jutiapa,No,20131213,20221230
4165698,22,Generacion Z,Masculino,Soltero,Guatemala,Guatemala,5030,Licenciatura En Administracion De Empresas,Guatemala,Guatemala,Si,20210215,20220925
3352358,42,Generacion X,Masculino,Casado,Chimaltenango,San Pedro Yepocapa,0,Constructor,Error,Error,Si,20080717,20221031
